SeqOrder,sourceID,BodyGroup_from,BodyGroup_to
15,MRI_CCS_11,ABDOMEN,ABDOMEN
16,MRI_MSR_100,ABDOMEN,ABDOMEN
0,MRI_MSR_104,ABDOMEN,ABDOMEN
1,MRI_MSR_21,ABDOMEN,ABDOMEN
2,MRI_FRR_257,ABDOMEN,ABDOMEN
3,MRI_FRR_264,ABDOMEN,ABDOMEN
4,MRI_FRR_3,ABDOMEN,ABDOMEN
5,MRI_CCS_11,ABDOMEN,ABDOMEN
6,MRI_CCS_11,ABDOMEN,ABDOMEN
7,MRI_FRR_3,ABDOMEN,ABDOMEN
8,MRI_FRR_3,ABDOMEN,ABDOMEN
9,MRI_FRR_3,ABDOMEN,ABDOMEN
10,MRI_FRR_3,ABDOMEN,ABDOMEN
11,MRI_FRR_3,ABDOMEN,ABDOMEN
12,MRI_CCS_11,ABDOMEN,ABDOMEN
13,MRI_CCS_11,ABDOMEN,ABDOMEN
14,MRI_MSR_100,ABDOMEN,ABDOMEN
0,MRI_MSR_104,ABDOMEN,ABDOMEN
1,MRI_MSR_21,ABDOMEN,ABDOMEN
2,MRI_FRR_264,ABDOMEN,ABDOMEN
3,MRI_FRR_257,ABDOMEN,ABDOMEN
4,MRI_FRR_3,ABDOMEN,ABDOMEN
5,MRI_CCS_11,ABDOMEN,ABDOMEN
6,MRI_CCS_11,ABDOMEN,ABDOMEN
7,MRI_CCS_11,ABDOMEN,ABDOMEN
8,MRI_FRR_3,ABDOMEN,ABDOMEN
9,MRI_FRR_3,ABDOMEN,ABDOMEN
10,MRI_CCS_11,ABDOMEN,ABDOMEN
11,MRI_CCS_11,ABDOMEN,ABDOMEN
12,MRI_CCS_11,ABDOMEN,ABDOMEN
13,MRI_FRR_3,ABDOMEN,ABDOMEN
14,MRI_FRR_3,ABDOMEN,ABDOMEN
15,MRI_CCS_11,ABDOMEN,ABDOMEN
16,MRI_CCS_11,ABDOMEN,ABDOMEN
17,MRI_FRR_3,ABDOMEN,ABDOMEN
18,MRI_MSR_100,ABDOMEN,ABDOMEN
0,MRI_MSR_104,ABDOMEN,ABDOMEN
1,MRI_MSR_21,ABDOMEN,ABDOMEN
2,MRI_FRR_264,ABDOMEN,ABDOMEN
3,MRI_FRR_257,ABDOMEN,ABDOMEN
4,MRI_FRR_3,ABDOMEN,ABDOMEN
5,MRI_CCS_11,ABDOMEN,ABDOMEN
6,MRI_CCS_11,ABDOMEN,ABDOMEN
7,MRI_FRR_3,ABDOMEN,ABDOMEN
8,MRI_FRR_3,ABDOMEN,ABDOMEN
9,MRI_CCS_11,ABDOMEN,ABDOMEN
10,MRI_CCS_11,ABDOMEN,ABDOMEN
11,MRI_CCS_11,ABDOMEN,ABDOMEN
12,MRI_FRR_3,ABDOMEN,ABDOMEN
13,MRI_FRR_3,ABDOMEN,ABDOMEN
14,MRI_MSR_100,ABDOMEN,ABDOMEN
0,MRI_MSR_104,ABDOMEN,HEAD
1,MRI_MSR_21,ABDOMEN,HEAD
2,MRI_FRR_257,ABDOMEN,HEAD
3,MRI_FRR_264,ABDOMEN,HEAD
4,MRI_FRR_3,ABDOMEN,HEAD
5,MRI_FRR_3,ABDOMEN,HEAD
6,MRI_CCS_11,ABDOMEN,HEAD
7,MRI_CCS_11,ABDOMEN,HEAD
8,MRI_FRR_264,ABDOMEN,HEAD
9,MRI_FRR_3,ABDOMEN,HEAD
10,MRI_FRR_3,ABDOMEN,HEAD
11,MRI_FRR_3,ABDOMEN,HEAD
12,MRI_FRR_3,ABDOMEN,HEAD
13,MRI_CCS_11,ABDOMEN,HEAD
14,MRI_FRR_3,ABDOMEN,HEAD
15,MRI_CCS_11,ABDOMEN,HEAD
16,MRI_CCS_11,ABDOMEN,HEAD
17,MRI_FRR_3,ABDOMEN,HEAD
18,MRI_FRR_34,ABDOMEN,HEAD
19,MRI_MSR_100,ABDOMEN,HEAD
0,MRI_MSR_104,ABDOMEN,HEAD
1,MRI_MSR_21,ABDOMEN,HEAD
2,MRI_FRR_257,ABDOMEN,HEAD
3,MRI_FRR_264,ABDOMEN,HEAD
4,MRI_CCS_11,ABDOMEN,HEAD
5,MRI_CCS_11,ABDOMEN,HEAD
6,MRI_CCS_11,ABDOMEN,HEAD
7,MRI_FRR_264,ABDOMEN,HEAD
8,MRI_FRR_3,ABDOMEN,HEAD
9,MRI_FRR_3,ABDOMEN,HEAD
10,MRI_FRR_3,ABDOMEN,HEAD
11,MRI_CCS_11,ABDOMEN,HEAD
12,MRI_FRR_264,ABDOMEN,HEAD
13,MRI_FRR_3,ABDOMEN,HEAD
14,MRI_FRR_34,ABDOMEN,HEAD
15,MRI_MSR_100,ABDOMEN,HEAD
0,MRI_MSR_104,ABDOMEN,KNEE
1,MRI_MSR_21,ABDOMEN,KNEE
2,MRI_FRR_257,ABDOMEN,KNEE
3,MRI_FRR_264,ABDOMEN,KNEE
4,MRI_FRR_3,ABDOMEN,KNEE
5,MRI_CCS_11,ABDOMEN,KNEE
6,MRI_FRR_3,ABDOMEN,KNEE
7,MRI_CCS_11,ABDOMEN,KNEE
8,MRI_FRR_264,ABDOMEN,KNEE
9,MRI_FRR_3,ABDOMEN,KNEE
10,MRI_FRR_3,ABDOMEN,KNEE
11,MRI_FRR_264,ABDOMEN,KNEE
12,MRI_FRR_264,ABDOMEN,KNEE
13,MRI_FRR_264,ABDOMEN,KNEE
14,MRI_FRR_264,ABDOMEN,KNEE
15,MRI_MPT_1005,ABDOMEN,KNEE
16,MRI_FRR_264,ABDOMEN,KNEE
17,MRI_FRR_3,ABDOMEN,KNEE
18,MRI_FRR_34,ABDOMEN,KNEE
19,MRI_MSR_100,ABDOMEN,KNEE
0,MRI_MSR_104,ABDOMEN,KNEE
1,MRI_MSR_21,ABDOMEN,KNEE
2,MRI_FRR_257,ABDOMEN,KNEE
3,MRI_FRR_264,ABDOMEN,KNEE
4,MRI_FRR_3,ABDOMEN,KNEE
5,MRI_CCS_11,ABDOMEN,KNEE
6,MRI_FRR_3,ABDOMEN,KNEE
7,MRI_CCS_11,ABDOMEN,KNEE
8,MRI_CCS_11,ABDOMEN,KNEE
9,MRI_FRR_264,ABDOMEN,KNEE
10,MRI_FRR_3,ABDOMEN,KNEE
11,MRI_FRR_264,ABDOMEN,KNEE
12,MRI_FRR_3,ABDOMEN,KNEE
13,MRI_FRR_264,ABDOMEN,KNEE
14,MRI_FRR_257,ABDOMEN,KNEE
15,MRI_FRR_3,ABDOMEN,KNEE
16,MRI_FRR_264,ABDOMEN,KNEE
17,MRI_FRR_3,ABDOMEN,KNEE
18,MRI_FRR_264,ABDOMEN,KNEE
19,MRI_FRR_3,ABDOMEN,KNEE
20,MRI_MSR_100,ABDOMEN,KNEE
0,MRI_MSR_104,ABDOMEN,KNEE
1,MRI_MSR_21,ABDOMEN,KNEE
2,MRI_FRR_257,ABDOMEN,KNEE
3,MRI_FRR_264,ABDOMEN,KNEE
4,MRI_FRR_3,ABDOMEN,KNEE
5,MRI_CCS_11,ABDOMEN,KNEE
6,MRI_CCS_11,ABDOMEN,KNEE
7,MRI_FRR_3,ABDOMEN,KNEE
8,MRI_FRR_3,ABDOMEN,KNEE
9,MRI_FRR_3,ABDOMEN,KNEE
10,MRI_CCS_11,ABDOMEN,KNEE
11,MRI_FRR_3,ABDOMEN,KNEE
12,MRI_CCS_11,ABDOMEN,KNEE
13,MRI_MSR_100,ABDOMEN,KNEE
0,MRI_MSR_104,ABDOMEN,KNEE
1,MRI_MSR_21,ABDOMEN,KNEE
2,MRI_FRR_257,ABDOMEN,KNEE
3,MRI_FRR_264,ABDOMEN,KNEE
4,MRI_FRR_3,ABDOMEN,KNEE
5,MRI_MSR_100,ABDOMEN,KNEE
0,MRI_MSR_104,HEAD,ABDOMEN
1,MRI_MSR_21,HEAD,ABDOMEN
2,MRI_FRR_264,HEAD,ABDOMEN
3,MRI_FRR_257,HEAD,ABDOMEN
4,MRI_FRR_3,HEAD,ABDOMEN
5,MRI_FRR_3,HEAD,ABDOMEN
6,MRI_CCS_11,HEAD,ABDOMEN
7,MRI_FRR_3,HEAD,ABDOMEN
8,MRI_FRR_3,HEAD,ABDOMEN
9,MRI_FRR_3,HEAD,ABDOMEN
10,MRI_CCS_11,HEAD,ABDOMEN
11,MRI_FRR_264,HEAD,ABDOMEN
12,MRI_FRR_3,HEAD,ABDOMEN
13,MRI_FRR_264,HEAD,ABDOMEN
14,MRI_FRR_257,HEAD,ABDOMEN
15,MRI_FRR_3,HEAD,ABDOMEN
0,MRI_MSR_104,HEAD,ABDOMEN
1,MRI_MSR_21,HEAD,ABDOMEN
2,MRI_FRR_264,HEAD,ABDOMEN
3,MRI_FRR_257,HEAD,ABDOMEN
4,MRI_FRR_3,HEAD,ABDOMEN
5,MRI_CCS_11,HEAD,ABDOMEN
6,MRI_CCS_11,HEAD,ABDOMEN
7,MRI_CCS_11,HEAD,ABDOMEN
8,MRI_FRR_3,HEAD,ABDOMEN
9,MRI_FRR_3,HEAD,ABDOMEN
10,MRI_CCS_11,HEAD,ABDOMEN
11,MRI_CCS_11,HEAD,ABDOMEN
12,MRI_CCS_11,HEAD,ABDOMEN
13,MRI_FRR_3,HEAD,ABDOMEN
14,MRI_FRR_264,HEAD,ABDOMEN
15,MRI_MPT_1005,HEAD,ABDOMEN
16,MRI_FRR_264,HEAD,ABDOMEN
17,MRI_FRR_3,HEAD,ABDOMEN
18,MRI_MSR_100,HEAD,ABDOMEN
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_257,HEAD,HEAD
3,MRI_FRR_264,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
5,MRI_FRR_3,HEAD,HEAD
6,MRI_FRR_3,HEAD,HEAD
7,MRI_MSR_100,HEAD,HEAD
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_257,HEAD,HEAD
3,MRI_FRR_264,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
5,MRI_FRR_3,HEAD,HEAD
6,MRI_MSR_100,HEAD,HEAD
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_257,HEAD,HEAD
3,MRI_FRR_264,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
5,MRI_FRR_3,HEAD,HEAD
6,MRI_FRR_3,HEAD,HEAD
7,MRI_FRR_3,HEAD,HEAD
8,MRI_FRR_3,HEAD,HEAD
9,MRI_FRR_3,HEAD,HEAD
10,MRI_FRR_3,HEAD,HEAD
11,MRI_FRR_264,HEAD,HEAD
12,MRI_FRR_264,HEAD,HEAD
13,MRI_FRR_3,HEAD,HEAD
14,MRI_FRR_34,HEAD,HEAD
15,MRI_MSR_100,HEAD,HEAD
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_257,HEAD,HEAD
3,MRI_FRR_264,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
5,MRI_FRR_3,HEAD,HEAD
6,MRI_CCS_11,HEAD,HEAD
7,MRI_FRR_3,HEAD,HEAD
8,MRI_FRR_3,HEAD,HEAD
9,MRI_FRR_3,HEAD,HEAD
10,MRI_CCS_11,HEAD,HEAD
11,MRI_FRR_3,HEAD,HEAD
12,MRI_FRR_34,HEAD,HEAD
13,MRI_MSR_100,HEAD,HEAD
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_257,HEAD,HEAD
3,MRI_FRR_264,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
5,MRI_FRR_3,HEAD,HEAD
6,MRI_FRR_3,HEAD,HEAD
7,MRI_FRR_3,HEAD,HEAD
8,MRI_FRR_3,HEAD,HEAD
9,MRI_FRR_3,HEAD,HEAD
10,MRI_CCS_11,HEAD,HEAD
11,MRI_FRR_3,HEAD,HEAD
12,MRI_FRR_34,HEAD,HEAD
13,MRI_MSR_100,HEAD,HEAD
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_257,HEAD,HEAD
3,MRI_FRR_264,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_264,HEAD,HEAD
3,MRI_FRR_257,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
5,MRI_FRR_3,HEAD,HEAD
6,MRI_FRR_3,HEAD,HEAD
7,MRI_FRR_3,HEAD,HEAD
8,MRI_FRR_3,HEAD,HEAD
9,MRI_CCS_11,HEAD,HEAD
10,MRI_FRR_264,HEAD,HEAD
11,MRI_FRR_34,HEAD,HEAD
12,MRI_MSR_100,HEAD,HEAD
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_264,HEAD,HEAD
3,MRI_FRR_257,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
5,MRI_FRR_3,HEAD,HEAD
6,MRI_FRR_3,HEAD,HEAD
7,MRI_FRR_3,HEAD,HEAD
8,MRI_FRR_3,HEAD,HEAD
9,MRI_FRR_3,HEAD,HEAD
10,MRI_CCS_11,HEAD,HEAD
11,MRI_FRR_264,HEAD,HEAD
12,MRI_FRR_3,HEAD,HEAD
13,MRI_FRR_34,HEAD,HEAD
14,MRI_MSR_100,HEAD,HEAD
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_264,HEAD,HEAD
3,MRI_FRR_257,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
5,MRI_FRR_3,HEAD,HEAD
6,MRI_FRR_3,HEAD,HEAD
7,MRI_FRR_3,HEAD,HEAD
8,MRI_FRR_3,HEAD,HEAD
9,MRI_FRR_3,HEAD,HEAD
10,MRI_FRR_3,HEAD,HEAD
11,MRI_FRR_264,HEAD,HEAD
12,MRI_FRR_3,HEAD,HEAD
13,MRI_CCS_11,HEAD,HEAD
14,MRI_FRR_3,HEAD,HEAD
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_257,HEAD,HEAD
3,MRI_FRR_264,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
5,MRI_FRR_3,HEAD,HEAD
6,MRI_FRR_3,HEAD,HEAD
7,MRI_FRR_3,HEAD,HEAD
8,MRI_FRR_3,HEAD,HEAD
9,MRI_FRR_3,HEAD,HEAD
10,MRI_FRR_3,HEAD,HEAD
11,MRI_CCS_11,HEAD,HEAD
12,MRI_FRR_264,HEAD,HEAD
13,MRI_FRR_3,HEAD,HEAD
14,MRI_FRR_34,HEAD,HEAD
15,MRI_MSR_100,HEAD,HEAD
0,MRI_MSR_104,HEAD,HEAD
1,MRI_MSR_21,HEAD,HEAD
2,MRI_FRR_257,HEAD,HEAD
3,MRI_FRR_264,HEAD,HEAD
4,MRI_FRR_3,HEAD,HEAD
5,MRI_FRR_3,HEAD,HEAD
6,MRI_CCS_11,HEAD,HEAD
7,MRI_FRR_3,HEAD,HEAD
8,MRI_FRR_3,HEAD,HEAD
9,MRI_FRR_3,HEAD,HEAD
10,MRI_FRR_3,HEAD,HEAD
11,MRI_FRR_3,HEAD,HEAD
12,MRI_CCS_11,HEAD,HEAD
13,MRI_FRR_264,HEAD,HEAD
14,MRI_FRR_3,HEAD,HEAD
15,MRI_FRR_34,HEAD,HEAD
0,MRI_MSR_104,HEAD,KNEE
1,MRI_MSR_21,HEAD,KNEE
2,MRI_FRR_257,HEAD,KNEE
3,MRI_FRR_264,HEAD,KNEE
4,MRI_FRR_3,HEAD,KNEE
5,MRI_FRR_3,HEAD,KNEE
6,MRI_CCS_11,HEAD,KNEE
7,MRI_CCS_11,HEAD,KNEE
8,MRI_FRR_264,HEAD,KNEE
9,MRI_FRR_3,HEAD,KNEE
10,MRI_CCS_11,HEAD,KNEE
11,MRI_FRR_3,HEAD,KNEE
12,MRI_CCS_11,HEAD,KNEE
13,MRI_FRR_264,HEAD,KNEE
14,MRI_FRR_3,HEAD,KNEE
15,MRI_MSR_100,HEAD,KNEE
0,MRI_MSR_104,HEAD,KNEE
1,MRI_MSR_21,HEAD,KNEE
2,MRI_FRR_264,HEAD,KNEE
3,MRI_FRR_257,HEAD,KNEE
4,MRI_FRR_3,HEAD,KNEE
5,MRI_FRR_3,HEAD,KNEE
6,MRI_FRR_3,HEAD,KNEE
7,MRI_FRR_3,HEAD,KNEE
8,MRI_CCS_11,HEAD,KNEE
9,MRI_FRR_264,HEAD,KNEE
10,MRI_FRR_3,HEAD,KNEE
11,MRI_FRR_3,HEAD,KNEE
12,MRI_FRR_264,HEAD,KNEE
13,MRI_FRR_264,HEAD,KNEE
14,MRI_FRR_3,HEAD,KNEE
15,MRI_FRR_34,HEAD,KNEE
0,MRI_MSR_104,KNEE,ABDOMEN
1,MRI_FRR_257,KNEE,ABDOMEN
2,MRI_FRR_264,KNEE,ABDOMEN
3,MRI_CCS_11,KNEE,ABDOMEN
4,MRI_MSR_34,KNEE,ABDOMEN
5,MRI_MPT_1005,KNEE,ABDOMEN
6,MRI_FRR_257,KNEE,ABDOMEN
7,MRI_FRR_264,KNEE,ABDOMEN
8,MRI_FRR_264,KNEE,ABDOMEN
9,MRI_CCS_11,KNEE,ABDOMEN
10,MRI_FRR_257,KNEE,ABDOMEN
11,MRI_FRR_264,KNEE,ABDOMEN
12,MRI_MSR_100,KNEE,ABDOMEN
0,MRI_MSR_104,KNEE,ABDOMEN
1,MRI_FRR_257,KNEE,ABDOMEN
2,MRI_CCS_11,KNEE,ABDOMEN
3,MRI_FRR_264,KNEE,ABDOMEN
4,MRI_FRR_264,KNEE,ABDOMEN
5,MRI_FRR_264,KNEE,ABDOMEN
6,MRI_CCS_11,KNEE,ABDOMEN
7,MRI_CCS_11,KNEE,ABDOMEN
8,MRI_CCS_11,KNEE,ABDOMEN
9,MRI_FRR_257,KNEE,ABDOMEN
10,MRI_CCS_11,KNEE,ABDOMEN
11,MRI_CCS_11,KNEE,ABDOMEN
12,MRI_CCS_11,KNEE,ABDOMEN
13,MRI_CCS_11,KNEE,ABDOMEN
14,MRI_CCS_11,KNEE,ABDOMEN
15,MRI_CCS_11,KNEE,ABDOMEN
16,MRI_FRR_264,KNEE,ABDOMEN
17,MRI_MSR_34,KNEE,ABDOMEN
18,MRI_FRR_264,KNEE,ABDOMEN
19,MRI_MSR_34,KNEE,ABDOMEN
20,MRI_MSR_100,KNEE,ABDOMEN
0,MRI_MSR_104,KNEE,ABDOMEN
1,MRI_FRR_257,KNEE,ABDOMEN
2,MRI_FRR_264,KNEE,ABDOMEN
3,MRI_CCS_11,KNEE,ABDOMEN
4,MRI_CCS_11,KNEE,ABDOMEN
5,MRI_FRR_264,KNEE,ABDOMEN
6,MRI_FRR_34,KNEE,ABDOMEN
7,MRI_FRR_257,KNEE,ABDOMEN
8,MRI_FRR_264,KNEE,ABDOMEN
9,MRI_MSR_34,KNEE,ABDOMEN
10,MRI_MSR_100,KNEE,ABDOMEN
0,MRI_MSR_104,KNEE,ABDOMEN
1,MRI_FRR_257,KNEE,ABDOMEN
2,MRI_FRR_264,KNEE,ABDOMEN
3,MRI_CCS_11,KNEE,ABDOMEN
4,MRI_CCS_11,KNEE,ABDOMEN
5,MRI_FRR_264,KNEE,ABDOMEN
6,MRI_FRR_34,KNEE,ABDOMEN
7,MRI_FRR_257,KNEE,ABDOMEN
8,MRI_FRR_264,KNEE,ABDOMEN
9,MRI_MSR_34,KNEE,ABDOMEN
10,MRI_EXU_95,KNEE,ABDOMEN
11,MRI_MSR_100,KNEE,ABDOMEN
0,MRI_MSR_104,KNEE,ABDOMEN
1,MRI_FRR_257,KNEE,ABDOMEN
2,MRI_CCS_11,KNEE,ABDOMEN
3,MRI_FRR_264,KNEE,ABDOMEN
4,MRI_CCS_11,KNEE,ABDOMEN
5,MRI_FRR_264,KNEE,ABDOMEN
6,MRI_FRR_257,KNEE,ABDOMEN
7,MRI_FRR_264,KNEE,ABDOMEN
8,MRI_FRR_257,KNEE,ABDOMEN
9,MRI_FRR_264,KNEE,ABDOMEN
10,MRI_FRR_264,KNEE,ABDOMEN
11,MRI_FRR_34,KNEE,ABDOMEN
12,MRI_FRR_264,KNEE,ABDOMEN
13,MRI_FRR_34,KNEE,ABDOMEN
14,MRI_FRR_257,KNEE,ABDOMEN
15,MRI_MSR_34,KNEE,ABDOMEN
16,MRI_MPT_1005,KNEE,ABDOMEN
17,MRI_EXU_95,KNEE,ABDOMEN
18,MRI_MSR_100,KNEE,ABDOMEN
0,MRI_MSR_104,KNEE,ABDOMEN
1,MRI_FRR_257,KNEE,ABDOMEN
2,MRI_FRR_264,KNEE,ABDOMEN
3,MRI_CCS_11,KNEE,ABDOMEN
4,MRI_CCS_11,KNEE,ABDOMEN
5,MRI_FRR_264,KNEE,ABDOMEN
6,MRI_FRR_34,KNEE,ABDOMEN
7,MRI_FRR_257,KNEE,ABDOMEN
8,MRI_FRR_264,KNEE,ABDOMEN
9,MRI_MSR_34,KNEE,ABDOMEN
10,MRI_MSR_100,KNEE,ABDOMEN
0,MRI_MSR_104,KNEE,ABDOMEN
1,MRI_FRR_257,KNEE,ABDOMEN
2,MRI_FRR_264,KNEE,ABDOMEN
3,MRI_CCS_11,KNEE,ABDOMEN
4,MRI_CCS_11,KNEE,ABDOMEN
5,MRI_FRR_264,KNEE,ABDOMEN
6,MRI_FRR_257,KNEE,ABDOMEN
7,MRI_FRR_264,KNEE,ABDOMEN
8,MRI_FRR_34,KNEE,ABDOMEN
9,MRI_FRR_257,KNEE,ABDOMEN
10,MRI_MSR_34,KNEE,ABDOMEN
11,MRI_MPT_1005,KNEE,ABDOMEN
12,MRI_MSR_100,KNEE,ABDOMEN
0,MRI_MSR_104,KNEE,ABDOMEN
1,MRI_FRR_257,KNEE,ABDOMEN
2,MRI_CCS_11,KNEE,ABDOMEN
3,MRI_FRR_264,KNEE,ABDOMEN
4,MRI_CCS_11,KNEE,ABDOMEN
5,MRI_FRR_264,KNEE,ABDOMEN
6,MRI_FRR_257,KNEE,ABDOMEN
7,MRI_FRR_264,KNEE,ABDOMEN
8,MRI_FRR_34,KNEE,ABDOMEN
9,MRI_FRR_257,KNEE,ABDOMEN
10,MRI_MSR_34,KNEE,ABDOMEN
11,MRI_MPT_1005,KNEE,ABDOMEN
12,MRI_MSR_100,KNEE,ABDOMEN
0,MRI_MSR_104,KNEE,ABDOMEN
1,MRI_FRR_257,KNEE,ABDOMEN
2,MRI_FRR_264,KNEE,ABDOMEN
3,MRI_CCS_11,KNEE,ABDOMEN
4,MRI_CCS_11,KNEE,ABDOMEN
5,MRI_FRR_264,KNEE,ABDOMEN
6,MRI_FRR_257,KNEE,ABDOMEN
7,MRI_FRR_264,KNEE,ABDOMEN
8,MRI_FRR_264,KNEE,ABDOMEN
9,MRI_FRR_34,KNEE,ABDOMEN
10,MRI_FRR_264,KNEE,ABDOMEN
11,MRI_MSR_34,KNEE,ABDOMEN
12,MRI_MPT_1005,KNEE,ABDOMEN
13,MRI_MSR_100,KNEE,ABDOMEN
0,MRI_MSR_104,KNEE,ABDOMEN
1,MRI_FRR_257,KNEE,ABDOMEN
2,MRI_FRR_264,KNEE,ABDOMEN
3,MRI_CCS_11,KNEE,ABDOMEN
4,MRI_CCS_11,KNEE,ABDOMEN
5,MRI_FRR_264,KNEE,ABDOMEN
6,MRI_FRR_34,KNEE,ABDOMEN
7,MRI_FRR_257,KNEE,ABDOMEN
8,MRI_FRR_264,KNEE,ABDOMEN
9,MRI_MSR_34,KNEE,ABDOMEN
10,MRI_MSR_100,KNEE,ABDOMEN
0,MRI_MSR_104,KNEE,HEAD
1,MRI_MSR_21,KNEE,HEAD
2,MRI_FRR_257,KNEE,HEAD
3,MRI_FRR_264,KNEE,HEAD
4,MRI_FRR_3,KNEE,HEAD
5,MRI_CCS_11,KNEE,HEAD
6,MRI_CCS_11,KNEE,HEAD
7,MRI_FRR_264,KNEE,HEAD
8,MRI_FRR_264,KNEE,HEAD
9,MRI_FRR_3,KNEE,HEAD
10,MRI_FRR_264,KNEE,HEAD
11,MRI_FRR_3,KNEE,HEAD
12,MRI_FRR_34,KNEE,HEAD
13,MRI_MSR_100,KNEE,HEAD
0,MRI_MSR_104,KNEE,HEAD
1,MRI_MSR_21,KNEE,HEAD
2,MRI_FRR_257,KNEE,HEAD
3,MRI_FRR_264,KNEE,HEAD
4,MRI_FRR_3,KNEE,HEAD
5,MRI_FRR_3,KNEE,HEAD
6,MRI_FRR_264,KNEE,HEAD
7,MRI_FRR_3,KNEE,HEAD
8,MRI_FRR_264,KNEE,HEAD
9,MRI_FRR_264,KNEE,HEAD
10,MRI_CCS_11,KNEE,HEAD
11,MRI_CCS_11,KNEE,HEAD
12,MRI_FRR_264,KNEE,HEAD
13,MRI_FRR_3,KNEE,HEAD
14,MRI_FRR_34,KNEE,HEAD
0,MRI_MSR_104,KNEE,KNEE
1,MRI_FRR_257,KNEE,KNEE
2,MRI_FRR_264,KNEE,KNEE
3,MRI_CCS_11,KNEE,KNEE
4,MRI_MSR_34,KNEE,KNEE
5,MRI_MPT_1005,KNEE,KNEE
6,MRI_FRR_257,KNEE,KNEE
7,MRI_FRR_264,KNEE,KNEE
8,MRI_FRR_264,KNEE,KNEE
9,MRI_CCS_11,KNEE,KNEE
10,MRI_FRR_257,KNEE,KNEE
11,MRI_FRR_264,KNEE,KNEE
12,MRI_MSR_100,KNEE,KNEE
0,MRI_MSR_104,KNEE,KNEE
1,MRI_FRR_257,KNEE,KNEE
2,MRI_CCS_11,KNEE,KNEE
3,MRI_FRR_264,KNEE,KNEE
4,MRI_FRR_264,KNEE,KNEE
5,MRI_FRR_264,KNEE,KNEE
6,MRI_CCS_11,KNEE,KNEE
7,MRI_CCS_11,KNEE,KNEE
8,MRI_CCS_11,KNEE,KNEE
9,MRI_FRR_257,KNEE,KNEE
10,MRI_CCS_11,KNEE,KNEE
11,MRI_CCS_11,KNEE,KNEE
12,MRI_CCS_11,KNEE,KNEE
13,MRI_CCS_11,KNEE,KNEE
14,MRI_CCS_11,KNEE,KNEE
15,MRI_CCS_11,KNEE,KNEE
16,MRI_FRR_264,KNEE,KNEE
17,MRI_MSR_34,KNEE,KNEE
18,MRI_FRR_264,KNEE,KNEE
19,MRI_MSR_34,KNEE,KNEE
20,MRI_MSR_100,KNEE,KNEE
0,MRI_MSR_104,KNEE,KNEE
1,MRI_FRR_257,KNEE,KNEE
2,MRI_FRR_264,KNEE,KNEE
3,MRI_CCS_11,KNEE,KNEE
4,MRI_CCS_11,KNEE,KNEE
5,MRI_FRR_264,KNEE,KNEE
6,MRI_FRR_34,KNEE,KNEE
7,MRI_FRR_257,KNEE,KNEE
8,MRI_FRR_264,KNEE,KNEE
9,MRI_MSR_34,KNEE,KNEE
10,MRI_MSR_100,KNEE,KNEE
0,MRI_MSR_104,KNEE,KNEE
1,MRI_FRR_257,KNEE,KNEE
2,MRI_FRR_264,KNEE,KNEE
3,MRI_CCS_11,KNEE,KNEE
4,MRI_CCS_11,KNEE,KNEE
5,MRI_FRR_264,KNEE,KNEE
6,MRI_FRR_34,KNEE,KNEE
7,MRI_FRR_257,KNEE,KNEE
8,MRI_FRR_264,KNEE,KNEE
9,MRI_MSR_34,KNEE,KNEE
10,MRI_EXU_95,KNEE,KNEE
11,MRI_MSR_100,KNEE,KNEE
0,MRI_MSR_104,KNEE,KNEE
1,MRI_FRR_257,KNEE,KNEE
2,MRI_CCS_11,KNEE,KNEE
3,MRI_FRR_264,KNEE,KNEE
4,MRI_CCS_11,KNEE,KNEE
